,0,category,2cat
2069,NOEL GARLAND PAINTED ZINC ,"This product falls under the category of Decor, specifically in the Christmas or Holiday Decor subcategory.","['Decor', 'subcategory']"
2070,4 GOLD FLOCK CHRISTMAS BALLS,Decor,Decor
2071,YELLOW FELT HANGING HEART W FLOWER,This product falls under the category of Decor.,Decor
2072,WOVEN BUBBLE GUM CUSHION COVER,"This product belongs to the ""Decor"" category.",Decor
2073,SET/6 PINK  BUTTERFLY T-LIGHTS,This product would be classified under the category of Lighting.,Lighting
2074,PINK METAL CHICKEN HEART ,This product falls under the category of Decor.,Decor
2075,KITCHEN FLOWER POTS WALL PLAQUE,Decor,Decor
2076,S/4 IVORY MINI ROSE CANDLE IN BOWL,"This product falls under the category of ""Decor.""",Decor
2077,S/4 BLACK MINI ROSE CANDLE IN BOWL,"This product falls under the category of Decor, specifically under Candles.","['Decor', 'Candles']"
2078,BEADED CRYSTAL HEART BLUE ON STICK,This product falls under the category of Decor.,Decor
2079,AMBER GLASS/SILVER BRACELET,This product falls under the category of Jewelry.,Jewelry
2080,FIRE POLISHED GLASS BRACELET BLACK,This product can be classified under the category of Jewelry.,Jewelry
2081,CHUNKY CRACKED GLAZE NECKLACE IVORY,This product falls under the category of Jewelry.,Jewelry
2082,LILY BROOCH OLIVE COLOUR,This product falls under the category of Fashion Accessories.,"['Fashion', 'Accessories']"
2083,WHITE FRANGIPANI NECKLACE,This product falls under the category of Jewelry.,Jewelry
2084,TURQ STONE/CRYSTAL EARRINGS,This product falls under the category of Jewelry.,Jewelry
2085,GREEN STONE/CRYSTAL EARRINGS,"This product falls under the category of ""Jewelry"".",Jewelry
2086,PURPLE PAPER PARASOL,This product would fall into the category of Decor.,Decor
2087,GREEN FERN SKETCHBOOK ,"This product falls under the ""Stationery"" category.",Stationery
2088,SMALL PINK GLASS SUNDAE DISH,"This product belongs to the ""Drinkware"" category.",Drinkware
2089,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Wellness,Wellness
2090,CAKE SHOP  STICKER SHEET,This product falls under the category of Stationery.,Stationery
2091,72 CAKE CASES VINTAGE CHRISTMAS,Decor,Decor
2092,SET OF 16 VINTAGE SKY BLUE CUTLERY,This product falls under the category of Kitchen & Dining.,"['Kitchen', 'Dining']"
2093,LARGE STRIPES CHOCOLATE GIFT BAG,This product falls under the category of Giftware.,Giftware
2094,WOODEN SKITTLES GARDEN SET,"This product falls under the category of ""Outdoor Games"" or ""Outdoor Activities"".","['Games', 'Activities']"
2095,CUBIC MUG FLOCK BLUE ON BROWN,This product belongs to the category of Drinkware.,Drinkware
2096,CUBIC MUG PINK POLKADOT,This product would fall under the category of Drinkware.,Drinkware
2097,VINTAGE KEEPSAKE BOX TRAVELOGUE,"This product belongs to the ""Decor"" category.",Decor
2098,VINTAGE NOTEBOOK PARIS DAYS,This product falls under the category of Stationery.,Stationery
2099,"PINK/WHITE ""KEEP CLEAN"" BULLET BIN",This product can be classified under the category of Decor.,Decor
2100,FRENCH BLUE METAL DOOR SIGN 8,Decor,Decor
2101,FRENCH BLUE METAL DOOR SIGN 0,This product can be classified as a Decor item.,"['Decor', 'item']"
2102,SET OF 36 MUSHROOM PAPER DOILIES,This product can be classified under the category of Decor.,Decor
2103,DOORMAT WELCOME SUNRISE,This product falls under the category of Decor.,Decor
2104,TOXIC AREA  DOOR HANGER ,The product 'TOXIC AREA DOOR HANGER' would most likely fall under the category of Home Decor or Novelty Items.,"['Novelty', 'Items']"
2105,LA PALMIERA TILE COASTER,Decor,Decor
2106,JIGSAW RABBIT AND BIRDHOUSE,"This product falls under the category of Decor, specifically in the subcategory of Home Decor or Garden Decor.","['Garden', 'Decor']"
2107,WOODEN BOX ADVENT CALENDAR ,This product would fall under the category of Decor.,Decor
2108,PLASMATRONIC LAMP,This product falls under the category of Lighting.,Lighting
2109,4 BURGUNDY WINE DINNER CANDLES,"This product falls under the category of ""Decor"".",Decor
2110,SILVER OVAL SHAPE TRINKET BOX,Decor,Decor
2111,WRAP BLUE RUSSIAN FOLKART,This product seems to fall under the category of Decor.,Decor
2112,DAISY JOURNAL ,Stationery,Stationery
2113,DUSTY PINK CHRISTMAS TREE 30CM,"This product fits into the category of Decor, specifically under Christmas decorations.","['Christmas', 'decorations']"
2114,HANGING PHOTO CLIP ROPE LADDER,This product falls under the category of Decor.,Decor
2115,PINK PARTY SUNGLASSES,This product can be classified as 'Accessories' or 'Party Supplies'.,"[""'Accessories"", 'Supplies']"
2116,POSY CANDY BAG,This product falls under the category of 'Food & Grocery'.,"[""'Food"", 'Grocery']"
2117,BLACKCHRISTMAS TREE 30CM,This product falls under the category of Decor.,Decor
2118,SMALL DOLLY MIX DESIGN ORANGE BOWL,Decor,Decor
2119,POCKET MIRROR WOODLAND,"This product can be classified under the category of ""Personal Care & Beauty"" or ""Accessories.""","['Beauty', 'Accessories']"
2120,HEART SHAPE WIRELESS DOORBELL,This product falls under the category of Home Security or Home Decor.,"['Home', 'Decor']"
2121,SET/6 GREEN SPRING PAPER CUPS,This product falls under the category of Drinkware.,Drinkware
2122,ASSORTED TUTTI FRUTTI LARGE PURSE,"This product would likely be classified as ""Accessories"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
2123,COFFEE SCENT PILLAR CANDLE,"This product belongs to the ""Decor"" category.",Decor
2124,PINK ROSE WASHBAG,"This product belongs to the category of ""Wellness"" as it is a washbag used for storing personal care items for self-care routines.","['items', 'routines']"
2125,GARDENIA 1 WICK MORRIS BOXED CANDLE,"This product falls under the category of ""Home Decor"" or ""Candles"".","['Decor', 'Candles']"
2126,SILVER LATTICE VANILLA CANDLE POT,This product falls under the category of Lighting.,Lighting
2127,PACK 3 IRON ON DOG PATCHES,This product belongs to the category of Apparel or Accessories.,"['Apparel', 'Accessories']"
2128,DAISY NOTEBOOK ,This product would fall under the category of Stationery.,Stationery
2129,BLACK FINE BEAD NECKLACE W TASSEL,This product falls under the category of Jewelry.,Jewelry
2130,FIRE POLISHED GLASS NECKL BRONZE,This product would fall under the category of Jewelry.,Jewelry
2131,ROUND PINK HEART MIRROR,"This product belongs to the ""Decor"" category.",Decor
2132,GOLD COSMETIC BAG PINK STAR,This product belongs to the 'Wellness' category.,'Wellness
2133,EIGHT PIECE CREEPY CRAWLIE SET,This product falls into the category of Toys or Halloween Decor.,"['Halloween', 'Decor']"
2134,SMOKEY GREY COLOUR D.O.F. GLASS,"This product falls into the ""Drinkware"" category.",Drinkware
2135,S/3 POT POURI CUSHIONS BLUE COLOURS,Decor,Decor
2136,BLACK AND WHITE DOG BOWL,This product can be classified as 'Pet Supplies'.,"['product', 'Supplies']"
2137,SPOTS ON RED BOOKCOVER TAPE,"This product falls under the category of Stationery, specifically under the subcategory of Book Accessories.","['Book', 'Accessories']"
2138,ASSORTED TUTTI FRUTTI HEART BOX,This product falls under the category of Food or Gifts.,"['Food', 'Gifts']"
2139,POLYESTER FILLER PAD 65CMx65CM,"This product falls under the category of ""Home Decor.""","['Home', 'Decor']"
2140,FRENCH BLUE METAL DOOR SIGN 6,This product falls under the category of Decor.,Decor
2141,SMALL RED RETROSPOT WINDMILL,This product can be classified under the category of 'Decor'.,'Decor
2142,HAND TOWEL PALE BLUE W FLOWERS,This product can be classified as Decor.,"['product', 'Decor']"
2143,BLUE ORGANDY ROUND LAMPSHADE W BEA,This product belongs to the category of Lighting.,Lighting
2144,WHITE AND BLUE CERAMIC OIL BURNER,"This product falls into the category of ""Wellness"" as it is an oil burner commonly used for aromatherapy and creating a relaxing atmosphere.","['relaxing', 'atmosphere']"
2145,PAPER CHAIN KIT SKULLS ,This product falls under the category of **Stationery**.,"['*', '*']"
2146,PINK FAIRY CAKE CUSHION COVER,This product falls under the category of Decor.,Decor
2147,GREEN POP ART MAO CUSHION COVER ,"This product would likely belong in the ""Home Decor"" category.",Decor
2148,HEART SHAPED MIRROR,"This product falls under the category of ""Decor"".",Decor
2149,GOLD WASHBAG,"This product can be classified under the category ""Accessories"" or ""Travel Accessories"".","['Travel', 'Accessories']"
2150,PINK PAISLEY ROSE GIFT WRAP,This product belongs to the Stationery category.,Stationery
2151,WOODLAND  STICKERS,This product belongs to the Stationery category.,Stationery
2152,SILVER TEDDY BEAR,Decor,Decor
2153,PSYCHEDELIC WALL THERMOMETER,This product can be classified as Decor.,"['product', 'Decor']"
2154,MAGIC DRAWING SLATE BUNNIES ,"This product fits into the category of ""Toys & Games"".","['Toys', 'Games']"
2155,check,"I'm sorry, but the description 'check' is not specific enough for me to classify into a product category. Can you please provide more details or context?","['details', 'context']"
2156,WRAP FOLK ART,This product can be classified under the category of Decor.,Decor
2157,damages,"I'm sorry, but I need more information about the product 'damages' to classify it into a specific category. Could you please provide more details or context about the product?","['context', 'product']"
2158,ROSE DU SUD WASHBAG ,"This product can be classified as a ""Cosmetic Bag"" or ""Travel Accessory.""","['Travel', 'Accessory']"
2159,NINJA RABBIT BLACK,I would classify 'NINJA RABBIT BLACK' as a product in the category of Decor or possibly as an item related to Design or Art due to its imaginative and quirky nature.,"['Art', 'nature']"
2160,BATHROOM METAL SIGN ,Decor,Decor
2161,DAISIES  HONEYCOMB GARLAND ,"This product can be classified under the ""Decor"" category.",Decor
2162,SET/4 BADGES BEETLES,This product falls into the category of Stationery.,Stationery
2163,DINOSAUR HEIGHT CHART STICKER SET,Decor,Decor
2164,LARGE CAMPHOR WOOD FIELD MUSHROOM ,This product is likely from the category of Home Decor or Garden Decor.,"['Garden', 'Decor']"
2165,Dad's Cab Electronic Meter,"This product falls under the category of ""Automotive Accessories"".",Accessories
2166,MIRROR MOSAIC VOTIVE HOLDER,This product falls under the category of Decor.,Decor
2167,PINK CHICK EGG WARMER + EGG CUP,This product falls under the category of Kitchenware or Tableware.,"['Kitchenware', 'Tableware']"
2168,"PET MUG, GOLDFISH","This product would fall under the ""Drinkware"" category.",Drinkware
2169,SET/4 2 TONE EGG SHAPE MIXING BOWLS,This product falls under the category of Kitchenware or Cookware.,"['Kitchenware', 'Cookware']"
2170,50CM METAL STRING WITH  7 CLIPS,"This product would be classified under the category of ""Organization"" or ""Decor"" because it is a tool used for hanging photos, notes, or other items.","['notes', 'items']"
2171,BLUE TV TRAY TABLE ,Decor,Decor
2172,PINK/BLUE DISC/MIRROR STRING,This product falls under the category of Lighting.,Lighting
2173,MEDIUM PINK BUDDHA HEAD ,This product falls under the category of Decor.,Decor
2174,SET OF 4 POLKADOT COASTERS,"This product can be classified into the ""Decor"" category.",Decor
2175,WHITE HAND TOWEL WITH BUTTERFLY,"This product belongs to the ""Home & Kitchen"" category, specifically under ""Bathroom Accessories"" or ""Linens & Towels"".","['Linens', 'Towels']"
2176,CANDY SPOT CUSHION COVER,This product would likely fall under the Decor category.,Decor
2177,CANDY SPOT EGG WARMER RABBIT,This product belongs to the category of Decor.,Decor
2178,SMALL ROUND CUT GLASS CANDLESTICK,This product falls under the category of Decor.,Decor
2179,MIDNIGHT BLUE VINTAGE EARRINGS,"This product belongs to the ""Jewelry"" category.",Jewelry
2180,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,This product belongs to the category of Hair Accessories.,"['Hair', 'Accessories']"
2181,VINTAGE ENAMEL & CRYSTAL EARRINGS,"This product falls under the category of ""Jewelry"".",Jewelry
2182,BLACK DIAMOND CLUSTER NECKLACE,This product falls under the category of Jewelry.,Jewelry
2183,PURPLE FRANGIPANI HAIRCLIP,This product would be classified under the category of Accessories or Hair Accessories.,"['Hair', 'Accessories']"
2184,GREEN GLASS TASSLE BAG CHARM,This product belongs to the category of Decor.,Decor
2185,AMBER GLASS TASSLE BAG CHARM,This product can be classified as a Decor item.,"['Decor', 'item']"
2186,PURPLE GLASS TASSLE BAG CHARM,This product falls into the category of Decor.,Decor
2187,TURQ+RED BOUDICCA LARGE BRACELET,This product falls into the category of Jewelry.,Jewelry
2188,ANT COPPER PINK BOUDICCA BRACELET,"This product would likely fall into the category of ""Jewelry"".",Jewelry
2189,PINK GLASS CHUNKY CHARM BRACELET,This product falls under the category of Jewelry.,Jewelry
2190,DROP DIAMANTE EARRINGS PURPLE,This product falls under the category of Jewelry.,Jewelry
2191,BLACK CHUNKY BEAD BRACELET W STRAP,This product falls under the category of Jewelry or Accessories.,"['Jewelry', 'Accessories']"
2192,AMBER DIAMANTE EXPANDABLE RING,"This product falls under the category of Jewelry, specifically Rings.","['Jewelry', 'Rings']"
2193,PAIR OF PINK FLOWER CLUSTER SLIDE,"This product falls under the category of ""Accessories"" or ""Fashion"".","['Accessories', 'Fashion']"
2194,RED PAPER PARASOL,This product can be classified under Decor.,"['product', 'Decor']"
2195,SILVER JEWELLED MIRROR TRINKET TRAY,This product 'SILVER JEWELLED MIRROR TRINKET TRAY' can be classified in the category of Decor.,Decor
2196,4 LILY  BOTANICAL DINNER CANDLES,"This product falls under the category of ""Decor.""",Decor
2197,GROW A FLYTRAP OR SUNFLOWER IN TIN,"This product can be classified as a ""Gardening"" or ""Planting Kit"" within the ""Home & Garden"" category.",Garden
2198,VINTAGE BEAD PINK EVENING BAG,This product can be classified under the category of Accessories or Handbags.,"['Accessories', 'Handbags']"
2199,ENGLISH ROSE SCENTED HANGING FLOWER,This product falls under the category of Wellness or Decor.,"['Wellness', 'Decor']"
2200,CUPID DESIGN SCENTED CANDLES,"This product would fall under the ""Wellness"" category.",Wellness
2201,SQUARE CHERRY BLOSSOM CABINET,Decor,Decor
2202,BLUE ROSE PATCH PURSE PINK BUTTERFL,This product can be classified as a Fashion or Accessories item.,"['Accessories', 'item']"
2203,WHITE BEADED GARLAND STRING 20LIGHT,"This product belongs to the ""Lighting"" category.",Lighting
2204,FRENCH BLUE METAL DOOR SIGN 4,This product belongs to the category of Decor.,Decor
2205,CHILDS GARDEN TROWEL BLUE ,"This product falls under the category of ""Gardening Tools.""","['Gardening', 'Tools']"
2206,CHILDS GARDEN RAKE BLUE,This product can be classified under the category of Gardening Tools or Outdoor Activities.,"['Outdoor', 'Activities']"
2207,LUNCH BOX WITH CUTLERY FAIRY CAKES ,"This product falls under the category of Kitchen and Dining, specifically Drinkware and Tableware.","['Drinkware', 'Tableware']"
2208,WOODEN REGATTA BUNTING,Decor,Decor
2209,SAMPLES,"I'm sorry, but without more context or information about the product 'SAMPLES', I'm unable to classify it into a specific category. If you can provide more details, I'll be happy to assist you in categorizing it.",details
2210,FREESTYLE CANVAS ART PICTURE,Decor,Decor
2211,CUBIC MUG FLOCK PINK ON BROWN,This product falls under the category of Drinkware.,Drinkware
2212,AMAZON FEE,"I'm sorry, but ""AMAZON FEE"" does not provide enough information for me to properly classify it into a category. Could you please provide more context or details about the product so that I can assist you better?","['details', 'product']"
2213,PORCELAIN BUDAH INCENSE HOLDER,"This product belongs to the Wellness category, as it is an incense holder used for burning incense sticks during relaxation or meditation practices.","['meditation', 'practices']"
